id,content,updated_by
1,"Chính sách bảo mật và hoàn tiền áp dụng cho tất cả khách hàng mua sắm tại hệ thống.",1
2,"Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày kể từ khi nhận hàng.",1
3,"Chúng tôi cam kết bảo mật thông tin cá nhân và không chia sẻ với bên thứ ba.",1
4,"Sản phẩm đổi trả phải còn nguyên tem, nhãn và chưa qua sử dụng.",1
5,"Chính sách vận chuyển với đơn vị giao hàng uy tín.",1
6,"Tài khoản vi phạm nội quy sẽ bị khóa tạm thời hoặc vĩnh viễn.",1
7,"Mọi hành vi gian lận sẽ bị xử lý theo quy định của pháp luật.",1
8,"Khách hàng thành viên được ưu đãi đặc biệt vào các dịp lễ tết.",1
9,"Chúng tôi có quyền thay đổi chính sách mà không cần báo trước.",1
10,"Thời gian xử lý khiếu nại từ 1–3 ngày làm việc tùy theo mức độ.",1
